Date,Price
09-03-2020,1800
10-03-2020,1800
11-03-2020,1800
12-03-2020,1800
13-03-2020,1800
14-03-2020,1800
15-03-2020,2000
16-03-2020,1800
17-03-2020,1800
18-03-2020,1800
19-03-2020,1800
20-03-2020,1800
21-03-2020,1800
22-03-2020,1800
23-03-2020,1800
24-03-2020,1800
25-03-2020,1800
26-03-2020,1800
27-03-2020,2000
28-03-2020,2000
29-03-2020,2000
30-03-2020,2000
31-03-2020,2000
01-04-2020,1800
02-04-2020,1800
03-04-2020,1800
04-04-2020,1800
05-04-2020,1800
06-04-2020,1700
07-04-2020,1800
08-04-2020,1700
09-04-2020,1800
10-04-2020,1800
11-04-2020,1800
12-04-2020,1800
13-04-2020,1800
14-04-2020,1800
15-04-2020,1800
16-04-2020,1800
17-04-2020,1800
18-04-2020,1800
19-04-2020,1800
20-04-2020,1800
21-04-2020,1800
22-04-2020,1800
23-04-2020,2000
24-04-2020,1800
25-04-2020,1800
26-04-2020,1800
27-04-2020,1800
28-04-2020,1800
29-04-2020,1800
30-04-2020,2000
01-05-2020,2000
02-05-2020,2000
03-05-2020,1800
04-05-2020,2000
05-05-2020,2100
06-05-2020,2000
07-05-2020,1800
08-05-2020,1800
09-05-2020,1800
10-05-2020,1800
11-05-2020,1800
12-05-2020,1800
13-05-2020,1800
14-05-2020,1800
15-05-2020,1800
16-05-2020,1800
17-05-2020,1800
18-05-2020,1800
19-05-2020,1800
20-05-2020,1800
21-05-2020,1800
22-05-2020,1800
23-05-2020,1800
24-05-2020,1800
25-05-2020,1800
26-05-2020,2000
27-05-2020,2000
28-05-2020,2000
29-05-2020,2000
30-05-2020,1800
31-05-2020,1800
01-06-2020,1800
02-06-2020,2000
03-06-2020,2200
04-06-2020,2200
05-06-2020,2200
06-06-2020,2200
07-06-2020,2200
08-06-2020,2400
09-06-2020,2400
10-06-2020,2400
11-06-2020,2600
12-06-2020,2600
13-06-2020,2600
14-06-2020,2500
15-06-2020,2400
16-06-2020,2600
17-06-2020,2600
18-06-2020,2600
19-06-2020,2400
20-06-2020,2500
21-06-2020,2500
22-06-2020,2800
